stem,vector,raster,alt_text
f01_research_claim_map,figures/vector/f01_research_claim_map.pdf,figures/raster/f01_research_claim_map.png,Flow diagram separating established complex linear SDE theory from the Phase 4 parameter synthesis and its rank-one limitation.
f02_log_to_exponential_plane,figures/vector/f02_log_to_exponential_plane.pdf,figures/raster/f02_log_to_exponential_plane.png,A colored line in the complex log plane maps through the exponential to a rotating curve with changing radius in the complex plane.
f03_linked_modulus_phase_path,figures/vector/f03_linked_modulus_phase_path.pdf,figures/raster/f03_linked_modulus_phase_path.png,"Three panels show the exact GBM modulus, continuous unwrapped phase, and resulting complex trajectory generated by one Brownian path."
f04_space_time_trajectory,figures/vector/f04_space_time_trajectory.pdf,figures/raster/f04_space_time_trajectory.png,"Three-dimensional curve showing real part, imaginary part, and time for one exact native complex geometric Brownian motion path."
f05_rotation_parameter_gallery,figures/vector/f05_rotation_parameter_gallery.pdf,figures/raster/f05_rotation_parameter_gallery.png,"Four complex paths compare absent, deterministic, stochastic, and combined rotation while keeping the same radial GBM parameters and Brownian path."
f06_constant_modulus_correction,figures/vector/f06_constant_modulus_correction.pdf,figures/raster/f06_constant_modulus_correction.png,"The correctly compensated pure stochastic rotation keeps constant modulus, while omitting the negative half beta-squared Itô drift creates spurious radial growth."
f07_exact_step_geometry,figures/vector/f07_exact_step_geometry.pdf,figures/raster/f07_exact_step_geometry.png,A complex log increment is shown as one vector whose exponential maps an initial state to the next state along a scale-and-rotation arc.
f08_log_polar_transition,figures/vector/f08_log_polar_transition.pdf,figures/raster/f08_log_polar_transition.png,A fixed-horizon log-radius and phase sample lies on the analytic rank-one Gaussian support line in log-polar coordinates.
f09_fixed_time_spiral_support,figures/vector/f09_fixed_time_spiral_support.pdf,figures/raster/f09_fixed_time_spiral_support.png,Terminal complex samples from one real Brownian driver lie on a one-dimensional logarithmic spiral rather than filling a two-dimensional region.
f10_local_noise_direction,figures/vector/f10_local_noise_direction.pdf,figures/raster/f10_local_noise_direction.png,"At one complex state, the diffusion vector has radial and tangential components but remains a single local noise direction driven by one scalar Brownian increment."
f11_covariance_eigenspectrum,figures/vector/f11_covariance_eigenspectrum.pdf,figures/raster/f11_covariance_eigenspectrum.png,"The one-driver covariance has one numerically vanishing eigenvalue, while a companion heatmap contrasts its outer-product structure with the two-driver diagonal covariance."
f12_one_vs_two_driver_clouds,figures/vector/f12_one_vs_two_driver_clouds.pdf,figures/raster/f12_one_vs_two_driver_clouds.png,"One-driver log-polar increments form a line, whereas independent radial and angular Brownian increments fill a two-dimensional elliptical cloud."
f13_moment_validation,figures/vector/f13_moment_validation.pdf,figures/raster/f13_moment_validation.png,Analytic radial and mixed log-polar moments agree with seeded Monte Carlo estimates and their componentwise two-standard-error bars.
f14_complex_mean_geometry,figures/vector/f14_complex_mean_geometry.pdf,figures/raster/f14_complex_mean_geometry.png,The analytic complex mean traces a deterministic curve through time and ends at the same point as the seeded Monte Carlo terminal mean.
f15_phase3_subfamily,figures/vector/f15_phase3_subfamily.pdf,figures/raster/f15_phase3_subfamily.png,"The Phase 3 logarithmic-spiral formula exactly overlaps the restricted Phase 4 process, while independently chosen phase parameters produce a different path."
f16_strong_convergence,figures/vector/f16_strong_convergence.pdf,figures/raster/f16_strong_convergence.png,A log-log plot of Euler--Maruyama terminal root-mean-square error follows the reference square-root step-size line on shared Brownian paths.
f17_complex_quadratic_variation,figures/vector/f17_complex_quadratic_variation.pdf,figures/raster/f17_complex_quadratic_variation.png,"Cumulative realized bilinear and Hermitian complex quadratic variations track their analytic time-integral targets, with the bilinear bracket split into real and imaginary parts."
f18_representation_taxonomy,figures/vector/f18_representation_taxonomy.pdf,figures/raster/f18_representation_taxonomy.png,"A taxonomy links the direct exponential, exact random walk, complex Itô SDE, exact GBM modulus, continuous phase, and rank-one noise boundary."
